age,education_num,hours_per_week,workclass,marital_status,occupation,sex,income
45.0,9.0,38.92231903076172,workclass_Private,marital_status_Divorced,occupation_Other-service,sex_Female,income_<=50K
41.0,10.1108154296875,40.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Exec-managerial,sex_Male,income_>50K
32.0,9.0,40.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Craft-repair,sex_Male,income_<=50K
54.0,6.0,40.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Handlers-cleaners,sex_Male,income_<=50K
36.0,9.990008544921874,40.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Exec-managerial,sex_Male,income_>50K
39.0,13.0,40.0,workclass_Private,marital_status_Never-married,occupation_Prof-specialty,sex_Male,income_<=50K
18.0,7.0,15.0,workclass_Private,marital_status_Never-married,occupation_Sales,sex_Female,income_<=50K
28.0,13.0,65.0,workclass_Private,marital_status_Never-married,occupation_Sales,sex_Male,income_<=50K
54.0,10.0,40.0,workclass_Self-emp-not-inc,marital_status_Married-civ-spouse,occupation_Sales,sex_Male,income_<=50K
54.0,13.0,50.0,workclass_Local-gov,marital_status_Never-married,occupation_Prof-specialty,sex_Male,income_<=50K
36.0,10.0,48.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Machine-op-inspct,sex_Male,income_<=50K
30.0,9.0,62.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Exec-managerial,sex_Male,income_<=50K
43.0,11.0,25.0,workclass_Self-emp-not-inc,marital_status_Divorced,occupation_Exec-managerial,sex_Male,income_<=50K
26.0,10.0,50.0,workclass_Private,marital_status_Never-married,occupation_Priv-house-serv,sex_Female,income_<=50K
22.0,10.0,40.0,workclass_Private,marital_status_Never-married,occupation_Tech-support,sex_Female,income_<=50K
47.0,13.0,50.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Prof-specialty,sex_Male,income_>50K
22.0,10.0,40.0,workclass_Private,marital_status_Never-married,occupation_Tech-support,sex_Male,income_<=50K
30.0,10.225030517578125,60.0,workclass_Private,marital_status_Never-married,occupation_Prof-specialty,sex_Female,income_<=50K
37.0,9.0,40.0,workclass_Self-emp-not-inc,marital_status_Married-civ-spouse,occupation_Craft-repair,sex_Male,income_<=50K
35.0,9.304022598266602,45.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Prof-specialty,sex_Male,income_>50K
59.0,10.310757446289063,40.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Craft-repair,sex_Male,income_<=50K
37.0,10.0,40.0,workclass_Private,marital_status_Divorced,occupation_Tech-support,sex_Female,income_<=50K
47.0,9.0,50.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Adm-clerical,sex_Male,income_>50K
18.0,9.0,25.0,workclass_Private,marital_status_Never-married,occupation_Handlers-cleaners,sex_Male,income_<=50K
34.0,10.596994018554687,48.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Craft-repair,sex_Male,income_>50K
34.0,16.0,60.0,workclass_State-gov,marital_status_Never-married,occupation_Prof-specialty,sex_Female,income_<=50K
44.0,9.722223281860352,36.0,workclass_Private,marital_status_Never-married,occupation_Transport-moving,sex_Male,income_<=50K
34.0,16.0,50.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Prof-specialty,sex_Male,income_>50K
25.0,13.0,50.0,workclass_Private,marital_status_Never-married,occupation_Exec-managerial,sex_Male,income_<=50K
33.0,8.876053047180175,40.0,workclass_Local-gov,marital_status_Divorced,occupation_Craft-repair,sex_Male,income_<=50K
35.0,13.0,40.06468658447265,workclass_Federal-gov,marital_status_Widowed,occupation_Adm-clerical,sex_Male,income_>50K
27.0,14.0,35.0,workclass_Local-gov,marital_status_Never-married,occupation_Prof-specialty,sex_Male,income_<=50K
24.0,9.0,40.0,workclass_Private,marital_status_Never-married,occupation_Craft-repair,sex_Male,income_<=50K
32.0,11.0,45.0,workclass_Private,marital_status_Never-married,occupation_Craft-repair,sex_Male,income_<=50K
27.0,7.893387794494629,26.43213005065918,workclass_Private,marital_status_Never-married,occupation_Tech-support,sex_Female,income_<=50K
33.0,3.0,40.0,workclass_Private,marital_status_Never-married,occupation_Other-service,sex_Female,income_<=50K
33.0,9.0,40.0,workclass_Private,marital_status_Never-married,occupation_Adm-clerical,sex_Male,income_<=50K
23.0,10.0,40.0,workclass_Private,marital_status_Divorced,occupation_Sales,sex_Female,income_<=50K
