Dataset,File,Method,MissingRate,ARI,OriginalEntropy,OriginalMutInfo,ImputedEntropy,ImputedMutInfo,ClusteringTimeSec,NClusters,NRows,NCols
parkinson_data.clean,parkinson_data.clean_famd_0.05_imputed.csv,0.05,0.05,0.6414700231390865,0.3725863421041437,0.11958524544456939,0.5524951143251136,0.12454720362480565,0.7506937980651855,2,195,23
parkinson_data.clean,parkinson_data.clean_famd_0.10_imputed.csv,0.10,0.1,1,0.3725863421041437,0.11958524544456939,0.3725863421041437,0.11823229132716051,0.7365610599517822,2,195,23
parkinson_data.clean,parkinson_data.clean_famd_0.15_imputed.csv,0.15,0.15,1,0.3725863421041437,0.11958524544456939,0.3725863421041437,0.10943874744052629,0.7170379161834717,2,195,23
parkinson_data.clean,parkinson_data.clean_mice_0.05_imputed.csv,0.05,0.05,0.9545248330788945,0.3725863421041437,0.11958524544456939,0.35335933502142436,0.10672443836172985,0.7234530448913574,2,195,23
parkinson_data.clean,parkinson_data.clean_mice_0.10_imputed.csv,0.10,0.1,0.9067996115632465,0.3725863421041437,0.11958524544456939,0.33352200393097964,0.07745729556651426,0.8959169387817383,2,195,23
parkinson_data.clean,parkinson_data.clean_mice_0.15_imputed.csv,0.15,0.15,0.856562938332243,0.3725863421041437,0.11958524544456939,0.3130269921111489,0.06624723986190251,0.794609785079956,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.05_imp_1.csv,imp,0.05,0.08145365517053368,0.3725863421041437,0.11958524544456939,0.9766349114440107,0.0047462440329244515,0.8680911064147949,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.05_imp_2.csv,imp,0.05,0.14595530200948162,0.3725863421041437,0.11958524544456939,0.9282124893359156,0.005727271353507035,0.7599830627441406,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.05_imp_3.csv,imp,0.05,0.3308854583787197,0.3725863421041437,0.11958524544456939,0.77033489396434085,0.007353915326591576,0.9975190162658691,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.05_imp_4.csv,imp,0.05,0.12396524866951233,0.3725863421041437,0.11958524544456939,0.9460360164531758,0.00771257890078747,0.8251450061798096,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.05_imp_5.csv,imp,0.05,0.13469230703969082,0.3725863421041437,0.11958524544456939,0.9374561707820057,0.005792626561976988,0.759558916091919,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.05_imputed.csv,0.05,0.05,0.7669714973908155,0.3725863421041437,0.11958524544456939,0.4441260450796023,0.014988461890663274,1.2116320133209229,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.05_pooled.csv,0.05,0.05,0.5192318666282119,0.3725863421041437,0.11958524544456939,0.5935633667712559,0.014985184158581077,1.2147231101989746,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.10_imp_1.csv,imp,0.1,0.07312300161046847,0.3725863421041437,0.11958524544456939,0.9816919182029494,0.002622753813508183,0.9677019119262695,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.10_imp_2.csv,imp,0.1,0.07212648514208987,0.3725863421041437,0.11958524544456939,0.973871469950691,0.0033135663102887847,0.8015780448913574,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.10_imp_3.csv,imp,0.1,0.05041187697456239,0.3725863421041437,0.11958524544456939,0.9881108365218307,0.0033232129737772453,0.7742419242858887,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.10_imp_4.csv,imp,0.1,0.09466381119323462,0.3725863421041437,0.11958524544456939,0.9678716293485619,0.00402877205090757,0.9276719093322754,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.10_imp_5.csv,imp,0.1,0.06829149237170883,0.3725863421041437,0.11958524544456939,0.9766349114440107,0.003412198209519879,0.83016204833984375,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.10_imputed.csv,0.10,0.1,0.07212648514208987,0.3725863421041437,0.11958524544456939,0.973871469950691,0.00544691876715131,0.8021619319915771,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.10_pooled.csv,0.10,0.1,0.07212648514208987,0.3725863421041437,0.11958524544456939,0.973871469950691,0.00544691876715131,0.8240559101104736,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.15_imp_1.csv,imp,0.15,0.06128746517898578,0.3725863421041437,0.11958524544456939,0.9881108365218307,0.0015927411242122602,0.9498717784881592,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.15_imp_2.csv,imp,0.15,0.06829149237170883,0.3725863421041437,0.11958524544456939,0.9766349114440107,0.002194473334267144,0.8596150875091553,2,195,23
